No.,식품명,제조사,조사년도,식품분류,식품군,식품코드,자료원,1회제공량,에너지(Kcal),단백질,지질,탄수화물,총당류,나트륨,콜레스테롤,총 포화 지방산,트랜스 지방산
31,구운 찹쌀大산자,한울제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00032,식약처(가공식품)NFPF,36g,108,-,-,-,3.2,11.61,-,0,0
32,참깨 전병,금호제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00033,식약처(가공식품)NFPF,100g,420,-,-,-,33,76,-,2,0
33,그랑쉘 블루베리,㈜청우식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00034,식약처(가공식품)NFPF,39g,167,-,-,-,11,47,-,4.8,0
34,조청맛 찹쌀산자,명승제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00035,식약처(가공식품)NFPF,30g,104.52,-,-,-,10.28,0.33,-,0.05,0
35,교동약과,㈜교동씨엠,2016,가공식품,"과자류, 빵류 또는 떡류",P00037,식약처(가공식품)NFPF,30g,140,-,-,-,2,35,-,1.2,0
36,프레첼 갈릭버터맛,㈜위너스,2016,가공식품,"과자류, 빵류 또는 떡류",P00038,식약처(가공식품)NFPF,30g,135,-,-,-,1,240,-,1.5,0
37,우리밀 꾸러기짱,삼양식품㈜원주공장,2016,가공식품,"과자류, 빵류 또는 떡류",P00039,식약처(가공식품)NFPF,30g,150,-,-,-,4,65,-,3.5,0
38,땅콩달콩,강성은명과녹번동점,2016,가공식품,"과자류, 빵류 또는 떡류",P00041,식약처(가공식품)NFPF,40g,192,-,-,-,9,10,-,2,0
39,김 고소아,㈜금호물산,2016,가공식품,"과자류, 빵류 또는 떡류",P00042,식약처(가공식품)NFPF,30g,123,-,-,-,3,183,-,0.3,0
40,유기농 고구마 쌀과자,라이스비,2016,가공식품,"과자류, 빵류 또는 떡류",P00043,식약처(가공식품)NFPF,40g,155,-,-,-,0,8.46,-,0,0
41,찹쌀 모나카,㈜청우식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00044,식약처(가공식품)NFPF,26g,82,-,-,-,11,20,-,0,0
42,우리밀 통밀퐁,영농조합법인산골농장,2016,가공식품,"과자류, 빵류 또는 떡류",P00045,식약처(가공식품)NFPF,30g,125,-,-,-,5,10,-,0,-
43,망고 쿠키 크런치,㈜엔에프에스,2016,가공식품,"과자류, 빵류 또는 떡류",P00046,식약처(가공식품)NFPF,30g,136,-,-,-,8,66,-,2.5,0
44,그로나 마리셀 퍼프 페스트리,㈜지에프에스인터내셔널,2016,가공식품,"과자류, 빵류 또는 떡류",P00047,식약처(가공식품)NFPF,30g,170,-,-,-,5,117,-,4.5,0.5
45,밀크 바닐라 와플 롤,효성인터내셔널,2016,가공식품,"과자류, 빵류 또는 떡류",P00048,식약처(가공식품)NFPF,25g,124,-,-,-,9,24,-,3,0
46,생강맛콘,성찬식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00049,식약처(가공식품)NFPF,30g,133,-,-,-,4,82,-,1,0
47,계란과자,대산후드,2016,가공식품,"과자류, 빵류 또는 떡류",P00050,식약처(가공식품)NFPF,90g,445,-,-,-,25,190,-,11,0
48,마헤소 츄러스,㈜이마트,2016,가공식품,"과자류, 빵류 또는 떡류",P00077,식약처(가공식품)NFPF,50g,265,-,-,-,10,290,-,2,0
49,일품화권 꽃빵,세린식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00078,식약처(가공식품)NFPF,70g,175,-,-,-,4,70,-,0.2,0
50,쟌슨빌 소세지 화이트번 롤,세린식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00079,식약처(가공식품)NFPF,130g,325,-,-,-,4,320,-,2.6,0
51,딸기잼 롤,유성씨앤에프㈜,2016,가공식품,"과자류, 빵류 또는 떡류",P00080,식약처(가공식품)NFPF,69g,212,-,-,-,20,143,-,1.5,0
52,허니 본 델리슈,㈜파리크라상,2016,가공식품,"과자류, 빵류 또는 떡류",P00081,식약처(가공식품)NFPF,50g,140,-,-,-,18,40,-,1,0
53,명가명품 제주녹차 카스텔라,㈜파리크라상,2016,가공식품,"과자류, 빵류 또는 떡류",P00082,식약처(가공식품)NFPF,50g,140,-,-,-,18,40,-,1,0
54,올리브 치아바타,㈜디엔비,2016,가공식품,"과자류, 빵류 또는 떡류",P00083,식약처(가공식품)NFPF,50g,135,-,-,-,3,220,-,0.7,0
55,햄버거식빵,상일제과㈜,2016,가공식품,"과자류, 빵류 또는 떡류",P00084,식약처(가공식품)NFPF,100g,285,-,-,-,7,240,-,3.3,0
56,에클레어,도우엔도우넛,2016,가공식품,"과자류, 빵류 또는 떡류",P00085,식약처(가공식품)NFPF,65g,230,-,-,-,2,90,-,4.3,0
57,미니쉘,신성제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00086,식약처(가공식품)NFPF,100g,400,-,-,-,32,83,-,4,0
58,스콘,신성제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00087,식약처(가공식품)NFPF,100g,387,-,-,-,17,353,-,3,0
59,쿠리 이리 도라야키,㈜서울식품특판,2016,가공식품,"과자류, 빵류 또는 떡류",P00090,식약처(가공식품)NFPF,58g,180,-,-,-,33,55,-,0.6,0
60,모카 번,㈜에치앤비,2016,가공식품,"과자류, 빵류 또는 떡류",P00096,식약처(가공식품)NFPF,100g,313,-,-,-,7,112,-,7,0
61,모닝빵,㈜에치앤비,2016,가공식품,"과자류, 빵류 또는 떡류",P00097,식약처(가공식품)NFPF,400g,331,-,-,-,0,394,-,0,0
62,우리밀 모닝롤,밀알베이커리,2016,가공식품,"과자류, 빵류 또는 떡류",P00098,식약처(가공식품)NFPF,100g,318,-,-,-,7.4,291,-,6,0
63,우리밀 샌드위치 식빵,밀알베이커리,2016,가공식품,"과자류, 빵류 또는 떡류",P00099,식약처(가공식품)NFPF,100g,290,-,-,-,3.7,338.2,-,3.8,0
64,우유버터 식빵,로베쟈빵,2016,가공식품,"과자류, 빵류 또는 떡류",P00100,식약처(가공식품)NFPF,100g,265,-,-,-,-,240,-,-,0
65,밀라노,로베쟈빵,2016,가공식품,"과자류, 빵류 또는 떡류",P00101,식약처(가공식품)NFPF,100g,295,-,-,-,-,550,-,-,0
66,블루베리 쉬폰,루시카토,2016,가공식품,"과자류, 빵류 또는 떡류",P00104,식약처(가공식품)NFPF,100g,302,-,-,-,11,63,-,-,-
67,초코 생크림,루시카토,2016,가공식품,"과자류, 빵류 또는 떡류",P00105,식약처(가공식품)NFPF,100g,230,-,-,-,11,63,-,-,-
68,부드럽고 촉촉한 모카케익,금촌베이커리,2016,가공식품,"과자류, 빵류 또는 떡류",P00108,식약처(가공식품)NFPF,80g,250,-,-,-,17,85,-,3.2,0
69,한입 두입 미니단팥빵,금촌베이커리,2016,가공식품,"과자류, 빵류 또는 떡류",P00109,식약처(가공식품)NFPF,80g,258,-,-,-,15,262,-,4,0
70,초코 쉬폰케익,㈜카파니씨,2016,가공식품,"과자류, 빵류 또는 떡류",P00110,식약처(가공식품)NFPF,100g,315,-,-,-,12,350,-,13,0
71,라이토스트 식빵,㈜신세계푸드,2016,가공식품,"과자류, 빵류 또는 떡류",P00113,식약처(가공식품)NFPF,80g,201,-,-,-,6,295,-,2,0.1
72,각식빵(루),㈜신세계푸드,2016,가공식품,"과자류, 빵류 또는 떡류",P00114,식약처(가공식품)NFPF,73g,188,-,-,-,6,228,-,2.1,0.1
73,통밀 비건 식빵,씨지에스푸드(CGSFood),2016,가공식품,"과자류, 빵류 또는 떡류",P00126,식약처(가공식품)NFPF,100g,259.58,-,-,-,5.18,119.72,-,0.52,-
74,통밀 보리밥빵,씨지에스푸드(CGSFood),2016,가공식품,"과자류, 빵류 또는 떡류",P00127,식약처(가공식품)NFPF,100g,253.88,-,-,-,4.49,301.88,-,2.34,-
75,치즈 앤 고구마,제이에프앤비,2016,가공식품,"과자류, 빵류 또는 떡류",P00130,식약처(가공식품)NFPF,70g,221,-,-,-,11,74,-,4,0
76,치즈 앤 치즈,제이에프앤비,2016,가공식품,"과자류, 빵류 또는 떡류",P00131,식약처(가공식품)NFPF,70g,213,-,-,-,4,74,-,3,0
77,오리지널 글레이즈드,크리스피크림신촌점,2016,가공식품,"과자류, 빵류 또는 떡류",P00132,식약처(가공식품)NFPF,49g,190,-,-,-,5,140,-,3.3,0
78,빠다코코낫,롯데제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00176,식약처(가공식품)NFPF,39g,200,-,-,-,8,95,-,6,0
79,한입가득 꿀호떡,롯데제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00177,식약처(가공식품)NFPF,115g,314,-,-,-,26,190,-,1.9,0
80,초콜릿칩 쿠키,Buc'sBestCookies,2016,가공식품,"과자류, 빵류 또는 떡류",P00181,식약처(가공식품)NFPF,28g,143,-,-,-,9,95,-,3,0
81,웨이퍼 롤스,HANSFREITAGGmbH&Co.KG,2016,가공식품,"과자류, 빵류 또는 떡류",P00182,식약처(가공식품)NFPF,35g,166.2,-,-,-,9.5,80.5,-,4.9,0
82,체스맨,PepperidgeFarmInc.,2016,가공식품,"과자류, 빵류 또는 떡류",P00183,식약처(가공식품)NFPF,26g,125,-,-,-,5,80,-,3,0
83,누룽지맛,상일제과㈜,2016,가공식품,"과자류, 빵류 또는 떡류",P00184,식약처(가공식품)NFPF,100g,459,-,-,-,8.5,346,-,0.31,0
84,뉴 이브콘,해륙식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00185,식약처(가공식품)NFPF,30g,150,-,-,-,5,105,-,2.5,-
85,새우깡 400g,농심,2016,가공식품,"과자류, 빵류 또는 떡류",P00186,식약처(가공식품)NFPF,45g,225,-,-,-,1,260,-,3.6,-
86,종합전병,엘리시온,2016,가공식품,"과자류, 빵류 또는 떡류",P00187,식약처(가공식품)NFPF,30g,135,-,-,-,14,160,-,0.5,0
87,찹쌀전병,엘리시온,2016,가공식품,"과자류, 빵류 또는 떡류",P00189,식약처(가공식품)NFPF,30g,135,-,-,-,14,160,-,0.5,0
88,옛날맛 쫀듸기,㈜신흥물산,2016,가공식품,"과자류, 빵류 또는 떡류",P00191,식약처(가공식품)NFPF,17g,57,-,-,-,2.3,61,-,0.5,0
89,이브콘,해륙식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00192,식약처(가공식품)NFPF,30g,140,-,-,-,5,100,-,2.5,0
90,궁중약과,정우식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00193,식약처(가공식품)NFPF,30g,115,-,-,-,6.1,14.8,-,0.5,0
91,큰소리 뻥,미성식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00194,식약처(가공식품)NFPF,30g,140,-,-,-,8,20,-,2,0
92,종합과자,태양식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00195,식약처(가공식품)NFPF,30g,127.92,-,-,-,12.09,16.23,-,0.03,0
93,옥수수 브이콘,진한제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00196,식약처(가공식품)NFPF,25g,120,-,-,-,2.7,93.9,-,1,0
94,소라형,금성식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00197,식약처(가공식품)NFPF,30g,134,-,-,-,5,152,-,1,0
95,고구마형,금성식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00198,식약처(가공식품)NFPF,30g,147,-,-,-,4,129,-,1,0
96,고구마형 과자,신흥식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00199,식약처(가공식품)NFPF,30g,141,-,-,-,4,156,-,2,0
97,깨맛 전병,신광제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00200,식약처(가공식품)NFPF,30g,125,-,-,-,20,0,-,0.7,0
98,쌀과자,미광식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00201,식약처(가공식품)NFPF,30g,120,-,-,-,9,10,-,0,0
99,오란다,신흥식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00202,식약처(가공식품)NFPF,30g,134,-,-,-,8,123,-,1,0
100,파래맛 전병,신광제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00203,식약처(가공식품)NFPF,30g,130,-,-,-,16,10,-,0.7,0
101,미니 찰식빵,롯데제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00206,식약처(가공식품)NFPF,66g,165,-,-,-,4,260,-,1.3,0
102,찰보리 쫀드기,한진식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00209,식약처(가공식품)NFPF,120g,396,-,-,-,8,588,-,1.2,0
103,옥수수 쫀드기,한진식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00210,식약처(가공식품)NFPF,120g,402,-,-,-,8,624,-,1.1,0
104,종합 제리,신화당제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00211,식약처(가공식품)NFPF,12g,40,-,-,-,3,8,-,0,0
105,종합 캔디,신화당제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00212,식약처(가공식품)NFPF,10g,40,-,-,-,3,0,-,0,0
106,블루베리 캔디,일광제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00213,식약처(가공식품)NFPF,10g,40,-,-,-,6,0,-,0,0
107,누룽지맛 캔디,일광제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00214,식약처(가공식품)NFPF,8g,27,-,-,-,3,25,-,0,0
108,땅콩 카라멜,국제제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00215,식약처(가공식품)NFPF,12g,50,-,-,-,7,15,-,0.5,0
109,말차 롤,㈜옵스,2016,가공식품,"과자류, 빵류 또는 떡류",P00216,식약처(가공식품)NFPF,30g,105,-,-,-,11,55,-,3,0
110,카스텔라,㈜옵스,2016,가공식품,"과자류, 빵류 또는 떡류",P00217,식약처(가공식품)NFPF,70g,240,-,-,-,39,90,-,1.5,0
111,치즈 번,㈜겐츠베이커리,2016,가공식품,"과자류, 빵류 또는 떡류",P00218,식약처(가공식품)NFPF,60g,230,-,-,-,10,230,-,4,0
112,밀봉케익,㈜겐츠베이커리,2016,가공식품,"과자류, 빵류 또는 떡류",P00219,식약처(가공식품)NFPF,50g,140,-,-,-,21,25,-,0.5,0
113,쌀과자,동성식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00220,식약처(가공식품)NFPF,36g,141,-,-,-,6,5,-,0.7,0
114,박하향 사탕,국제제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00221,식약처(가공식품)NFPF,10g,40,-,-,-,1,0,-,0,0
115,옛날 마블캔디,탑푸드,2016,가공식품,"과자류, 빵류 또는 떡류",P00222,식약처(가공식품)NFPF,12g,48,-,-,-,11,0,-,0,0
116,위대한 크림단팥빵,㈜도투락식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00223,식약처(가공식품)NFPF,130g,435,-,-,-,36,277,-,4,0
117,위대한 단팥빵,㈜도투락식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00224,식약처(가공식품)NFPF,130g,374,-,-,-,35,277,-,3,0
118,제크,롯데제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00226,식약처(가공식품)NFPF,50g,245,-,-,-,4,400,-,6,0.5
119,야무진 검은콩이랑 고소한 검은깨가 만난 캔디,동아제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00227,식약처(가공식품)NFPF,10g,40,-,-,-,8,0,-,0,0
120,호박마을 제리,미성식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00229,식약처(가공식품)NFPF,10g,36.4,-,-,-,6,3.1,-,0,0
121,crude 캔디,동아제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00230,식약처(가공식품)NFPF,13g,52,-,-,-,9,0,-,0,0
122,슈크림,그린밀푸드,2016,가공식품,"과자류, 빵류 또는 떡류",P00234,식약처(가공식품)NFPF,70g,185,-,-,-,3,110,-,3.6,0
123,고구마 앙금빵,그린밀푸드,2016,가공식품,"과자류, 빵류 또는 떡류",P00235,식약처(가공식품)NFPF,80g,225,-,-,-,11,100,-,3.4,0
124,찹쌀약과,정우식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00236,식약처(가공식품)NFPF,44g,115,-,-,-,6.1,14.8,-,0.5,0
125,옛날 왕사탕,양지제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00237,식약처(가공식품)NFPF,16g,65,-,-,-,9,0,-,0,0
126,참호박 엿,동아제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00238,식약처(가공식품)NFPF,12g,53,-,-,-,8,0,-,0.6,0
127,대롱과자,제이엠,2016,가공식품,"과자류, 빵류 또는 떡류",P00239,식약처(가공식품)NFPF,30g,146.07,-,-,-,0.78,184.38,-,1.62,0.006
128,마블쿠키,스푼베이커리,2016,가공식품,"과자류, 빵류 또는 떡류",P00241,식약처(가공식품)NFPF,30g,160,-,-,-,11,75,-,5,0
129,샤브레쿠키 땅콩,스푼베이커리,2016,가공식품,"과자류, 빵류 또는 떡류",P00242,식약처(가공식품)NFPF,30g,165,-,-,-,10,130,-,5,0
130,고구마 케익,㈜명품정항우케잌,2016,가공식품,"과자류, 빵류 또는 떡류",P00245,식약처(가공식품)NFPF,80g,291,-,-,-,9,296,-,10,0
131,블루베리 케익,㈜명품정항우케잌,2016,가공식품,"과자류, 빵류 또는 떡류",P00246,식약처(가공식품)NFPF,80g,240,-,-,-,18,200,-,8,0
132,티라미스 크레이프,㈜채목,2016,가공식품,"과자류, 빵류 또는 떡류",P00247,식약처(가공식품)NFPF,100g,235,-,-,-,15,85,-,8,0
133,크레이프 케익,㈜채목,2016,가공식품,"과자류, 빵류 또는 떡류",P00248,식약처(가공식품)NFPF,100g,280,-,-,-,6,80,-,13,0
134,일반 뻥튀기,근영제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00257,식약처(가공식품)NFPF,100g,380,-,-,-,2,250,-,0,0
135,백옥콘,미성식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00258,식약처(가공식품)NFPF,50g,205,-,-,-,6,20,-,0.5,0
136,난나나콘,서울식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00259,식약처(가공식품)NFPF,30g,150,-,-,-,4,50,-,0.6,0
137,녹차 롤,스푼베이커리,2016,가공식품,"과자류, 빵류 또는 떡류",P00261,식약처(가공식품)NFPF,100g,299,-,-,-,30,230,-,8,0.4
138,우유 식빵,스푼베이커리,2016,가공식품,"과자류, 빵류 또는 떡류",P00262,식약처(가공식품)NFPF,100g,279,-,-,-,7,570,-,3.3,0
139,깨 땅콩전병,소소명과,2016,가공식품,"과자류, 빵류 또는 떡류",P00263,식약처(가공식품)NFPF,30g,155,-,-,-,8,35,-,3.7,0
140,땅콩전병,소소명과,2016,가공식품,"과자류, 빵류 또는 떡류",P00264,식약처(가공식품)NFPF,30g,155,-,-,-,8,45,-,4.1,0
141,경주 빵,우영식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00265,식약처(가공식품)NFPF,30g,76,-,-,-,15,55,-,0,0
142,더블로리 꿀빵,우영식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00266,식약처(가공식품)NFPF,50g,178,-,-,-,14,90,-,1.9,0
143,단호박 못난이 쌀과자,맘스쌀과자,2016,가공식품,"과자류, 빵류 또는 떡류",P00267,식약처(가공식품)NFPF,40g,157,-,-,-,0,15.1,-,0.05,0
144,팥빵,㈜경남제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00270,식약처(가공식품)NFPF,80g,280,-,-,-,20,160,-,2.5,0
145,흰앙금빵,㈜경남제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00271,식약처(가공식품)NFPF,80g,242,-,-,-,18,120,-,3,0.2
146,호텔브레드,㈜옵스,2016,가공식품,"과자류, 빵류 또는 떡류",P00274,식약처(가공식품)NFPF,55g,170,-,-,-,1.5,330,-,3.5,0
147,팡도르,㈜옵스,2016,가공식품,"과자류, 빵류 또는 떡류",P00275,식약처(가공식품)NFPF,50g,217,-,-,-,8.9,75,-,7,0
148,호떡,끄레용,2016,가공식품,"과자류, 빵류 또는 떡류",P00276,식약처(가공식품)NFPF,90g,251,-,-,-,13.8,182,-,1.31,0.05
149,크림빵,끄레용,2016,가공식품,"과자류, 빵류 또는 떡류",P00277,식약처(가공식품)NFPF,60g,373,-,-,-,13.2,289,-,5.32,0.25
150,앙금빵,코넷베이커리,2016,가공식품,"과자류, 빵류 또는 떡류",P00280,식약처(가공식품)NFPF,75g,224.25,-,-,-,7.03,137.4,-,2.24,0.02
151,하리보 마오암 브록스,HariboGmbH&CO.KG,2016,가공식품,"과자류, 빵류 또는 떡류",P00281,식약처(가공식품)NFPF,11g,45,-,-,-,7,0,-,0,-
152,망고맛 젤리,TsangLinIndustriesCorp,2016,가공식품,"과자류, 빵류 또는 떡류",P00282,식약처(가공식품)NFPF,123g,120,-,-,-,24,77,-,0,-
153,하리보 혼합과일쥬스 골드베렌구미,HariboGmbH&CO.KG,2016,가공식품,"과자류, 빵류 또는 떡류",P00283,식약처(가공식품)NFPF,15g,54,-,-,-,6,0,-,0,-
154,씨젤리,한진식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00299,식약처(가공식품)NFPF,20g,80,-,-,-,15,25,-,0.7,0
155,쥬시 스트로우,JELLICOFOODCO.LTD,2016,가공식품,"과자류, 빵류 또는 떡류",P00301,식약처(가공식품)NFPF,19g,18,-,-,-,4,13.2,-,0,0
156,까창 땅콩크래커,PT.ANEKAINDOMAKMUR,2016,가공식품,"과자류, 빵류 또는 떡류",P00302,식약처(가공식품)NFPF,40g,192,-,-,-,10,270,-,5,-
157,웰빙 찰보리빵,다인명가,2016,가공식품,"과자류, 빵류 또는 떡류",P00303,식약처(가공식품)NFPF,100g,235,-,-,-,16,470,-,2.4,0
158,프링글스 양파맛,농심켈로그㈜,2016,가공식품,"과자류, 빵류 또는 떡류",P00304,식약처(가공식품)NFPF,25g,133,-,-,-,-,110,-,-,-
159,초이스엘 현미과자,덕성제과㈜,2016,가공식품,"과자류, 빵류 또는 떡류",P00305,식약처(가공식품)NFPF,33g,131,-,-,-,20,7,-,0,0
160,롯데마트랑 뻔스낵,서울제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00306,식약처(가공식품)NFPF,30g,145,-,-,-,3,84,-,1.4,0
161,쌀로별 오리지널,롯데제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00307,식약처(가공식품)NFPF,30g,170,-,-,-,8,120,-,4.6,0
162,칙촉,롯데제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00308,식약처(가공식품)NFPF,30g,145,-,-,-,9,85,-,5,9
